Record ID#,Spacecraft Name,Launch Code (Using Record ID)
765,AxelGlobe (2021 forecast) 35,
766,AxelGlobe (2021 forecast) 36,
767,AxelGlobe (2021 forecast) 37,
768,AxelGlobe (2021 forecast) 38,
769,AxelGlobe (2021 forecast) 39,
770,AxelGlobe (2021 forecast) 40,
771,AxelGlobe (2021 forecast) 41,
772,AxelGlobe (2021 forecast) 42,
773,AxelGlobe (2021 forecast) 43,
774,AxelGlobe (2021 forecast) 44,
775,AxelGlobe (2021 forecast) 45,
776,AxelGlobe (2021 forecast) 46,
777,AxelGlobe (2021 forecast) 47,
778,AxelGlobe (2021 forecast) 48,
779,AxelGlobe (2021 forecast) 49,
780,AxelGlobe (2021 forecast) 50,
781,AxelGlobe (2021 forecast) 51,
782,AxelGlobe (2021 forecast) 52,
783,AxelGlobe (2021 forecast) 53,
784,AxelGlobe (2021 forecast) 54,
785,AxelGlobe (2021 forecast) 55,
786,AxelGlobe (2021 forecast) 56,
787,AxelGlobe (2021 forecast) 57,
788,AxelGlobe (2021 forecast) 58,
789,AxelGlobe (2021 forecast) 59,
790,AxelGlobe (2021 forecast) 60,
791,AxelGlobe (2021 forecast) 61,
792,AxelGlobe (2021 forecast) 62,
793,AxelGlobe (2021 forecast) 63,
794,AxelGlobe (2021 forecast) 64,
795,AxelGlobe (2021 forecast) 65,
796,AxelGlobe (2021 forecast) 66,
797,AxelGlobe (2021 forecast) 67,
798,AxelGlobe (2021 forecast) 68,
799,AxelGlobe (2021 forecast) 69,
800,AxelGlobe replacement projection 1,
801,AxelGlobe replacement projection 10,
802,AxelGlobe replacement projection 11,
803,AxelGlobe replacement projection 12,
804,AxelGlobe replacement projection 13,
805,AxelGlobe replacement projection 14,
806,AxelGlobe replacement projection 15,
807,AxelGlobe replacement projection 16,
808,AxelGlobe replacement projection 17,
809,AxelGlobe replacement projection 18,
810,AxelGlobe replacement projection 19,
811,AxelGlobe replacement projection 2,
812,AxelGlobe replacement projection 20,
813,AxelGlobe replacement projection 21,
814,AxelGlobe replacement projection 22,
815,AxelGlobe replacement projection 23,
816,AxelGlobe replacement projection 24,
817,AxelGlobe replacement projection 25,
818,AxelGlobe replacement projection 26,
819,AxelGlobe replacement projection 27,
820,AxelGlobe replacement projection 28,
821,AxelGlobe replacement projection 29,
822,AxelGlobe replacement projection 3,
823,AxelGlobe replacement projection 30,
824,AxelGlobe replacement projection 31,
825,AxelGlobe replacement projection 32,
826,AxelGlobe replacement projection 33,
827,AxelGlobe replacement projection 34,
828,AxelGlobe replacement projection 35,
829,AxelGlobe replacement projection 36,
830,AxelGlobe replacement projection 37,
831,AxelGlobe replacement projection 38,
832,AxelGlobe replacement projection 39,
833,AxelGlobe replacement projection 4,
834,AxelGlobe replacement projection 40,
835,AxelGlobe replacement projection 41,
836,AxelGlobe replacement projection 42,
837,AxelGlobe replacement projection 43,
838,AxelGlobe replacement projection 44,
839,AxelGlobe replacement projection 45,
840,AxelGlobe replacement projection 46,
841,AxelGlobe replacement projection 47,
842,AxelGlobe replacement projection 48,
843,AxelGlobe replacement projection 49,
844,AxelGlobe replacement projection 5,
845,AxelGlobe replacement projection 50,
846,AxelGlobe replacement projection 51,
847,AxelGlobe replacement projection 52,
848,AxelGlobe replacement projection 53,
849,AxelGlobe replacement projection 54,
850,AxelGlobe replacement projection 55,
851,AxelGlobe replacement projection 56,
852,AxelGlobe replacement projection 57,
853,AxelGlobe replacement projection 58,
854,AxelGlobe replacement projection 6,
855,AxelGlobe replacement projection 7,
856,AxelGlobe replacement projection 8,
857,AxelGlobe replacement projection 9,
858,AxH1,
859,AxH2,
860,Axiom Crew Dragon to ISS 3 (Ax-3),
861,Axiom Crew Dragon to ISS 4 (Ax-4),
862,Axiom Crew to Ax Station 1,
863,Axiom Crew to Ax Station 2,
864,Axiom Crew to Ax Station 3,
865,Axiom Crew to Ax Station 4,
866,Axiom Crew to Ax Station 5,
867,Axiom Crew to Ax Station 6,
868,Axiom Crew to Ax Station 7,
869,Axiom Crew to Ax Station 8,
870,Axiom Crew to ISS 10,
871,Axiom Crew to ISS 11,
872,Axiom Crew to ISS 12,
873,Axiom Crew to ISS 13,
874,Axiom Crew to ISS 14,
875,Axiom Crew to ISS 5,
876,Axiom Crew to ISS 6,
877,Axiom Crew to ISS 7,
878,Axiom Crew to ISS 8,
879,Axiom Crew to ISS 9,
880,AxL,
881,AxPT,
882,AxStation Core Module,
883,Azalea,
884,BADR 8 (Arabsat 7B),
885,Bars-M #4,
886,Bars-M #5,
887,Bars-M #6,
888,BeaverCube 2,
889,Beidou (GEO/inclined) projection 2,
890,Beidou (GEO/inclined) projection 3,
891,Beidou (GEO/inclined) projection 4,
892,Beidou (GEO/inclined) projection 5,
893,Beidou (MEO) projection 1,
894,Beidou (MEO) projection 10,
895,Beidou (MEO) projection 11,
896,Beidou (MEO) projection 12,
897,Beidou (MEO) projection 13,
898,Beidou (MEO) projection 14,
899,Beidou (MEO) projection 15,
900,Beidou (MEO) projection 16,
901,Beidou (MEO) projection 17,
902,Beidou (MEO) projection 18,
903,Beidou (MEO) projection 19,
904,Beidou (MEO) projection 2,
905,Beidou (MEO) projection 20,
906,Beidou (MEO) projection 3,
907,Beidou (MEO) projection 4,
908,Beidou (MEO) projection 5,
909,Beidou (MEO) projection 6,
910,Beidou (MEO) projection 7,
911,Beidou (MEO) projection 8,
912,Beidou (MEO) projection 9,
